subject,block,word_picture,trial,event_type,event_type_last4runs,rt,lag,item,eeg_rejected,sub_block
11,1,1,1,1,0,695,NaN,WRENCH,0,1
11,1,1,2,1,0,329,NaN,BABY,0,1
11,1,1,3,0,0,366,NaN,VACUUM,0,1
11,1,1,4,1,0,418,NaN,WETSUIT,0,1
11,1,1,5,0,0,450,NaN,FAIRY,0,1
11,1,1,6,0,0,387,NaN,TANK,0,1
11,1,1,7,0,0,445,NaN,CIRCUIT,0,2
11,1,1,8,1,0,472,NaN,PEPPERS,0,2
11,1,1,9,0,0,519,NaN,FLOWERS,0,2
11,1,1,10,1,0,481,NaN,REMOTE,0,2
11,1,1,11,2,0,428,7,WETSUIT,0,2
11,1,1,12,10,0,0,NaN,VOLCANO,0,2
11,1,1,13,2,0,663,12,WRENCH,0,2
11,1,1,14,0,0,630,NaN,CANDLE,0,2
11,1,1,15,2,0,497,13,BABY,0,2
11,1,1,16,0,0,535,NaN,ENVELOPE,0,3
11,1,1,17,0,0,492,NaN,FOLDER,0,3
11,1,1,18,2,0,544,10,PEPPERS,0,3
11,1,1,19,0,0,686,NaN,GARLIC,0,3
11,1,1,20,1,0,573,NaN,PELICAN,0,3
11,1,1,21,0,0,495,NaN,STEREO,0,3
11,1,1,22,1,0,632,NaN,CARROTS,0,3
11,1,1,23,3,0,429,10,WRENCH,0,3
11,1,1,24,1,0,561,NaN,MOUNTAIN,0,3
11,1,1,25,2,0,604,13,VOLCANO,0,3
11,1,1,26,3,0,586,11,BABY,0,3
11,1,1,27,0,0,598,NaN,CAT,0,3
11,1,1,28,0,0,570,NaN,ANCHOR,0,3
11,1,1,29,0,0,642,NaN,CAMERA,0,3
11,1,1,30,0,0,534,NaN,RACKET,0,3
11,1,1,31,3,0,396,20,WETSUIT,0,3
11,1,1,32,0,0,538,NaN,BURGER,0,3
11,1,1,33,2,0,676,23,REMOTE,0,3
11,1,1,34,1,1,573,NaN,RAFT,0,4
11,1,1,35,0,0,625,NaN,FRIDGE,0,4
11,1,1,36,1,1,562,NaN,SWAN,0,4
11,1,1,37,4,4,529,11,BABY,0,4
11,1,1,38,4,4,526,15,WRENCH,0,4
11,1,1,39,3,3,554,14,VOLCANO,0,4
11,1,1,40,3,3,576,22,PEPPERS,0,4
11,1,1,41,0,0,503,NaN,RIFLE,0,4
11,1,1,42,2,2,626,20,CARROTS,0,4
11,1,1,43,0,0,648,NaN,HORSE,0,4
11,1,1,44,2,2,645,24,PELICAN,0,4
11,1,1,45,0,0,607,NaN,BAGPIPES,0,4
11,1,1,46,3,3,629,13,REMOTE,0,4
11,1,1,47,0,0,596,NaN,NOSE,0,4
11,1,1,48,0,0,528,NaN,KEY,0,4
11,1,1,49,2,2,750,25,MOUNTAIN,0,4
11,1,1,50,4,4,947,19,WETSUIT,0,4
11,1,1,51,1,1,615,NaN,CALCULATOR,0,4
11,1,1,52,2,2,782,18,RAFT,0,5
11,1,1,53,3,3,544,9,PELICAN,0,5
11,1,1,54,0,0,621,NaN,BOTTLE,0,5
11,1,1,55,3,3,548,13,CARROTS,0,5
